sample_id	PC1	PC2	species	bioproject	tissue	condition	replicate	layout	r1	r2	salmon_index	canary	analysis_group	co2	water	dehydration_stage	design_cell
SRR33083344	-102.605896529148	38.1742088680664	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2+drought_biol_rep1	1	paired	data/fastq/SRR33083344_1.fastq.gz	data/fastq/SRR33083344_2.fastq.gz	results/rnaseq/triticum_aestivum/index	true	wheat_prjna1249400	elevated	drought		elevated:drought
SRR33083345	-73.4515211719783	33.2911342343879	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2+drought_biol_rep2	2	paired	data/fastq/SRR33083345_1.fastq.gz	data/fastq/SRR33083345_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	elevated	drought		elevated:drought
SRR33083338	-89.9615102315401	41.1497580011116	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2+drought_biol_rep3	3	paired	data/fastq/SRR33083338_1.fastq.gz	data/fastq/SRR33083338_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	elevated	drought		elevated:drought
SRR33083351	-33.7095417899076	-57.9032657978419	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2_biol_rep1	1	paired	data/fastq/SRR33083351_1.fastq.gz	data/fastq/SRR33083351_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	elevated	well_watered		elevated:well_watered
SRR33083339	-38.1112070609043	-59.1921960128409	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2_biol_rep2	2	paired	data/fastq/SRR33083339_1.fastq.gz	data/fastq/SRR33083339_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	elevated	well_watered		elevated:well_watered
SRR33083340	-36.0835765399716	-58.3413656783052	triticum_aestivum	PRJNA1249400	Leaf	Alana_elevated-CO2_biol_rep3	3	paired	data/fastq/SRR33083340_1.fastq.gz	data/fastq/SRR33083340_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	elevated	well_watered		elevated:well_watered
SRR33083352	61.1253735252688	33.1229738742176	triticum_aestivum	PRJNA1249400	Leaf	Alana_drought_biol_rep1	1	paired	data/fastq/SRR33083352_1.fastq.gz	data/fastq/SRR33083352_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	ambient	drought		ambient:drought
SRR33083346	57.921112828115	26.1900595966103	triticum_aestivum	PRJNA1249400	Leaf	Alana_drought_biol_rep2	2	paired	data/fastq/SRR33083346_1.fastq.gz	data/fastq/SRR33083346_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	ambient	drought		ambient:drought
SRR33083347	58.2727344246037	6.98150035288633	triticum_aestivum	PRJNA1249400	Leaf	Alana_drought_biol_rep3	3	paired	data/fastq/SRR33083347_1.fastq.gz	data/fastq/SRR33083347_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	ambient	drought		ambient:drought
SRR33083355	61.4345595347123	-1.09569486606585	triticum_aestivum	PRJNA1249400	Leaf	Alana_control_biol_rep1	1	paired	data/fastq/SRR33083355_1.fastq.gz	data/fastq/SRR33083355_2.fastq.gz	results/rnaseq/triticum_aestivum/index	false	wheat_prjna1249400	ambient	well_watered		ambient:well_watered
